step,days,C,P,E,N,H,R,S,total,M_gem,M_abr
0,7,800,100,4270,235,1034,78,0,6517,0,0
1,8,839,112,3864,233,1026,86,0,6160,0,0
2,9,885,135,3470,225,1013,93,0,5821,0,0
3,10,925,166,3107,219,1002,101,0,5520,0,0
4,11,975,200,2797,209,992,108,0,5281,0,0
5,12,1042,241,2491,202,981,115,0,5072,0,0
6,13,1104,292,2210,190,965,121,0,4882,0,0
7,14,1177,342,1947,183,949,129,0,4727,0,0.015
8,15,1149,365,1589,170,883,127,0,4283,0,0.00810045
9,16,1145,401,1349,159,843,124,0,4021,0,0.00437448
10,17,1165,447,1150,149,819,127,0,3857,0,0.00236235
11,18,1213,506,978,144,797,131,0,3769,0,0.0162757
12,19,1151,514,796,135,736,124,0,3456,0,0.00878939
13,20,1149,585,651,123,701,124,0,3333,0,0.00474653
14,21,1210,649,557,111,679,128,0,3334,0,0.00256327
15,22,1271,746,494,102,663,133,0,3409,0,0.0163842
16,23,1233,751,404,91,599,126,0,3204,0,0.00884798
17,24,1278,830,325,84,566,126,0,3209,0,0.00477817
18,25,1333,920,266,81,548,129,0,3277,0,0.00258036
19,26,1408,1033,233,74,531,136,0,3415,0,0.0163935
20,27,1351,1038,175,64,480,133,0,3241,0,0.00885296
21,28,1383,1102,143,60,464,136,0,3288,0,0.00478086
22,29,1436,1242,123,56,452,141,0,3450,0,0.00258181
23,30,1431,1390,105,52,440,147,0,3565,0,0.00139425
24,31,1444,1583,89,49,436,152,0,3753,0,0.000752939
25,32,1464,1794,73,47,427,157,0,3962,0,0.00040661
26,33,1486,2022,65,44,418,163,0,4198,0,0.000219581
27,34,1516,2274,56,41,411,167,0,4465,0,0.00011858
28,35,1545,2519,48,40,398,174,0,4724,0,6.4037e-05
29,36,1570,2755,38,39,393,181,0,4976,0,3.45819e-05
30,37,1601,2997,31,39,382,187,0,5237,0,1.86753e-05
31,38,1635,3219,26,39,375,192,0,5486,0,1.00852e-05
32,39,1660,3420,22,37,370,197,0,5706,0,5.44631e-06
33,40,1697,3576,18,37,361,202,0,5891,0,2.94117e-06
34,41,1716,3734,16,36,346,208,0,6056,0,1.58832e-06
35,42,1747,3855,15,35,343,213,0,6208,0,8.5774e-07
36,43,1799,3974,15,35,334,220,0,6377,0,4.63205e-07
37,44,1829,4064,15,34,328,226,0,6496,0,2.50145e-07
38,45,1863,4128,14,31,321,232,0,6589,0,1.35086e-07
39,46,1901,4193,10,27,318,237,0,6686,0,7.29502e-08
40,47,1944,4235,8,26,312,242,0,6767,0,3.93953e-08
41,48,1979,4276,8,24,306,247,0,6840,0,2.12746e-08
42,49,2014,4311,8,24,294,253,0,6904,0,1.14889e-08
43,50,2042,4330,8,23,290,258,0,6951,0,6.20437e-09
44,51,2082,4342,8,22,284,263,0,7001,0,3.35055e-09
45,52,2126,4351,8,21,272,268,0,7046,0,1.8094e-09
46,53,2155,4358,7,21,263,274,0,7078,0,9.77128e-10
47,54,2196,4366,6,20,257,279,0,7124,0,5.27678e-10
48,55,2230,4371,5,20,250,285,0,7161,0,2.84962e-10
49,56,2278,4374,5,16,243,290,0,7206,0,1.53888e-10
50,57,2315,4375,3,15,237,295,0,7240,0,8.31041e-11
51,58,2358,4377,3,15,233,300,0,7286,0,4.48787e-11
52,59,2403,4377,2,15,228,306,0,7331,0,2.42358e-11
53,60,2438,4379,2,15,222,312,0,7368,0,1.30881e-11
54,61,2482,4381,2,15,218,318,0,7416,0,7.06795e-12
55,62,2533,4381,1,15,210,323,0,7463,0,3.81691e-12
56,63,2577,4381,0,14,201,329,0,7502,0,2.06124e-12
57,64,2626,4381,0,14,196,336,0,7553,0,1.11313e-12
58,65,2687,4381,0,13,190,342,0,7613,0,6.01125e-13
59,66,2734,4382,0,13,176,347,0,7652,0,3.24625e-13
60,67,2779,4383,1,13,174,352,0,7702,0,1.75307e-13
61,68,2834,4383,1,13,168,357,0,7756,0,9.46713e-14
62,69,2887,4383,1,12,161,363,0,7807,0,5.11253e-14
63,70,2927,4383,0,12,157,369,0,7848,0,2.76092e-14
64,71,2973,4383,0,13,149,375,0,7893,0,1.49098e-14
65,72,3018,4383,0,11,143,381,0,7936,0,8.05173e-15
66,73,3064,4383,0,11,136,387,0,7981,0,4.34818e-15
67,74,3115,4383,0,11,131,392,0,8032,0,2.34815e-15
68,75,3162,4383,0,11,127,398,0,8081,0,1.26807e-15
69,76,3199,4383,0,11,121,404,0,8118,0,6.84795e-16
70,77,3245,4383,0,12,115,409,0,8164,0,3.6981e-16
71,78,3313,4383,0,12,113,416,0,8237,0,1.99708e-16
72,79,3361,4383,0,11,110,422,0,8287,0,1.07848e-16
73,80,3421,4383,0,12,100,427,0,8343,0,5.82414e-17
74,81,3482,4383,0,12,97,432,0,8406,0,3.14521e-17
75,82,3529,4383,0,11,90,437,0,8450,0,1.69851e-17
76,83,3572,4383,0,11,86,442,0,8494,0,9.17244e-18
77,84,3617,4383,0,11,85,447,0,8543,0,4.95339e-18
78,85,3671,4383,0,10,79,452,0,8595,0,2.67498e-18
79,86,3712,4383,0,9,76,458,0,8638,0,1.44457e-18
80,87,3772,4383,0,8,73,464,0,8700,0,7.80111e-19
81,88,3831,4383,0,7,68,470,0,8759,0,4.21283e-19
82,89,3884,4383,0,5,65,475,0,8812,0,2.27505e-19
83,90,3931,4383,0,6,62,480,0,8862,0,1.2286e-19
84,91,3993,4383,0,4,58,485,0,8923,0,6.63479e-20
85,92,4056,4383,1,4,56,492,0,8992,0,3.58299e-20
86,93,4112,4383,1,4,55,497,0,9052,0,1.93492e-20
87,94,4158,4383,1,4,52,502,0,9100,0,1.04491e-20
88,95,4198,4383,1,4,52,507,0,9145,0,5.64285e-21
89,96,4273,4383,0,4,52,513,0,9225,0,3.04731e-21
90,97,4341,4383,0,4,47,519,0,9294,0,1.64564e-21
91,98,4389,4383,0,3,46,524,0,9345,0,8.88694e-22
92,99,4442,4383,0,3,44,530,0,9402,0,4.79921e-22
93,100,4500,4383,0,3,40,536,0,9462,0,2.59172e-22
94,101,4564,4383,0,3,40,542,0,9532,0,1.3996e-22
95,102,4626,4383,1,3,39,547,0,9599,0,7.55828e-23
96,103,4678,4383,2,3,36,553,0,9655,0,4.0817e-23
