step,days,C,P,E,N,H,R,total
0,0,600,240,120,80,180,40,1260
1,0.000694444,600,240,120,80,180,40,1260
2,0.00138889,600,240,120,80,180,40,1260
3,0.00208333,600,240,120,80,179,40,1259
4,0.00277778,600,240,120,80,179,40,1259
5,0.00347222,601,240,120,80,179,40,1260
6,0.00416667,601,240,120,80,179,40,1260
7,0.00486111,601,240,120,80,179,40,1260
8,0.00555556,601,240,120,80,179,40,1260
9,0.00625,601,240,120,80,179,40,1260
10,0.00694444,601,240,120,80,179,40,1260
11,0.00763889,601,240,120,80,179,40,1260
12,0.00833333,601,240,120,80,179,40,1260
13,0.00902778,601,240,120,80,179,40,1260
14,0.00972222,601,240,120,80,179,40,1260
15,0.0104167,601,240,120,80,179,40,1260
16,0.0111111,601,240,120,80,179,40,1260
17,0.0118056,601,240,120,80,179,40,1260
18,0.0125,601,240,120,80,179,40,1260
19,0.0131944,601,240,120,80,179,40,1260
20,0.0138889,601,240,120,80,179,40,1260
21,0.0145833,601,240,120,80,179,40,1260
22,0.0152778,601,240,120,80,179,40,1260
23,0.0159722,601,240,120,80,179,40,1260
24,0.0166667,601,240,120,80,179,40,1260
25,0.0173611,601,240,120,80,179,40,1260
26,0.0180556,601,240,120,80,179,40,1260
27,0.01875,601,240,120,80,179,40,1260
28,0.0194444,601,240,120,80,179,40,1260
29,0.0201389,601,240,120,80,179,40,1260
30,0.0208333,601,240,120,80,179,40,1260
31,0.0215278,601,240,120,80,179,40,1260
32,0.0222222,601,240,120,80,179,40,1260
33,0.0229167,601,240,120,80,179,40,1260
34,0.0236111,601,240,120,80,179,40,1260
35,0.0243056,601,240,120,80,179,40,1260
36,0.025,601,240,120,80,179,40,1260
37,0.0256944,601,240,120,80,179,40,1260
38,0.0263889,602,240,120,80,179,40,1261
39,0.0270833,602,240,120,80,179,40,1261
40,0.0277778,602,240,120,80,179,40,1261
41,0.0284722,603,240,120,80,179,40,1262
42,0.0291667,603,240,120,80,179,40,1262
43,0.0298611,603,240,120,80,179,40,1262
44,0.0305556,603,240,120,80,179,40,1262
45,0.03125,603,240,120,80,179,40,1262
46,0.0319444,603,240,120,80,179,40,1262
47,0.0326389,603,240,119,80,179,40,1261
48,0.0333333,603,240,119,80,179,40,1261
49,0.0340278,603,240,119,80,179,40,1261
50,0.0347222,603,240,119,80,179,40,1261
51,0.0354167,603,240,119,80,179,40,1261
52,0.0361111,603,240,119,80,179,40,1261
53,0.0368056,603,240,119,80,179,40,1261
54,0.0375,603,240,119,80,179,40,1261
55,0.0381944,603,240,119,80,179,40,1261
56,0.0388889,603,240,119,80,179,40,1261
57,0.0395833,603,240,119,80,179,40,1261
58,0.0402778,603,240,119,80,178,40,1260
59,0.0409722,603,240,119,80,178,40,1260
60,0.0416667,603,240,119,80,178,40,1260
61,0.0423611,603,240,119,80,178,40,1260
62,0.0430556,603,240,119,80,178,40,1260
63,0.04375,603,240,119,80,178,40,1260
64,0.0444444,603,240,119,80,178,40,1260
65,0.0451389,603,240,119,80,178,40,1260
66,0.0458333,603,240,119,80,178,40,1260
67,0.0465278,603,240,119,80,178,40,1260
68,0.0472222,604,240,119,80,178,40,1261
69,0.0479167,604,240,119,80,178,40,1261
70,0.0486111,604,240,119,80,178,40,1261
71,0.0493056,604,240,119,80,178,40,1261
72,0.05,604,240,119,80,178,40,1261
73,0.0506944,604,239,119,80,178,40,1260
74,0.0513889,604,239,119,80,178,40,1260
75,0.0520833,604,239,119,80,178,40,1260
76,0.0527778,604,239,119,80,178,40,1260
77,0.0534722,604,239,119,80,178,40,1260
78,0.0541667,604,239,119,80,178,40,1260
79,0.0548611,604,239,119,80,178,40,1260
80,0.0555556,604,240,119,80,178,40,1261
81,0.05625,604,240,119,80,178,40,1261
82,0.0569444,604,240,119,80,178,40,1261
83,0.0576389,604,240,119,80,178,40,1261
84,0.0583333,604,240,119,80,178,40,1261
85,0.0590278,604,240,119,80,178,40,1261
86,0.0597222,604,241,119,80,178,40,1262
87,0.0604167,604,241,119,80,178,40,1262
88,0.0611111,604,241,119,80,178,40,1262
89,0.0618056,604,241,119,80,178,40,1262
90,0.0625,604,241,119,80,178,40,1262
91,0.0631944,604,241,119,80,178,40,1262
92,0.0638889,604,241,119,80,178,40,1262
93,0.0645833,604,241,119,80,178,40,1262
94,0.0652778,604,241,119,80,178,40,1262
95,0.0659722,604,241,119,80,178,40,1262
96,0.0666667,604,241,119,80,178,40,1262
97,0.0673611,604,241,119,80,178,40,1262
98,0.0680556,604,241,119,80,178,40,1262
99,0.06875,604,241,119,80,178,40,1262
100,0.0694444,604,241,119,80,178,40,1262
101,0.0701389,604,241,119,80,178,40,1262
102,0.0708333,604,241,119,80,178,40,1262
103,0.0715278,604,240,119,80,178,40,1261
104,0.0722222,604,240,119,80,178,40,1261
105,0.0729167,604,240,119,80,178,40,1261
106,0.0736111,604,240,119,80,178,40,1261
107,0.0743056,604,240,119,80,178,40,1261
108,0.075,604,240,119,80,178,40,1261
109,0.0756944,604,239,119,80,178,40,1260
110,0.0763889,604,239,119,80,178,40,1260
111,0.0770833,604,239,119,80,178,40,1260
112,0.0777778,604,239,119,80,178,40,1260
113,0.0784722,604,239,119,80,178,40,1260
114,0.0791667,604,239,119,80,178,40,1260
115,0.0798611,604,239,119,80,178,40,1260
116,0.0805556,604,239,119,80,178,40,1260
117,0.08125,604,239,119,80,178,40,1260
118,0.0819444,604,239,119,80,178,40,1260
119,0.0826389,604,239,119,80,178,40,1260
120,0.0833333,604,239,119,80,178,40,1260
121,0.0840278,604,239,119,80,178,40,1260
122,0.0847222,604,239,119,80,177,40,1259
123,0.0854167,604,239,119,80,177,40,1259
124,0.0861111,604,239,119,80,177,40,1259
125,0.0868056,604,239,119,80,177,40,1259
126,0.0875,604,239,119,80,177,40,1259
127,0.0881944,604,239,119,80,177,40,1259
128,0.0888889,604,239,119,80,177,40,1259
129,0.0895833,604,239,119,80,177,40,1259
130,0.0902778,604,239,119,80,177,40,1259
131,0.0909722,604,239,119,81,177,40,1260
132,0.0916667,604,239,119,81,177,40,1260
133,0.0923611,604,239,119,81,177,40,1260
134,0.0930556,604,239,119,81,177,40,1260
135,0.09375,604,239,119,81,177,40,1260
136,0.0944444,604,239,119,81,177,40,1260
137,0.0951389,604,239,119,81,177,40,1260
138,0.0958333,604,239,119,81,177,40,1260
139,0.0965278,604,239,119,81,177,40,1260
140,0.0972222,604,239,119,81,177,40,1260
141,0.0979167,604,239,119,81,177,40,1260
142,0.0986111,604,238,119,81,177,40,1259
143,0.0993056,604,238,119,81,178,40,1260
144,0.1,604,238,119,81,178,40,1260
145,0.100694,604,238,119,81,178,40,1260
146,0.101389,604,238,119,81,178,40,1260
147,0.102083,604,238,119,81,178,40,1260
148,0.102778,604,238,119,81,178,40,1260
149,0.103472,604,238,119,81,178,40,1260
150,0.104167,604,238,119,81,178,40,1260
151,0.104861,604,238,119,81,178,40,1260
152,0.105556,604,238,119,81,178,40,1260
153,0.10625,604,238,119,81,178,40,1260
154,0.106944,604,238,119,81,178,40,1260
155,0.107639,604,238,119,81,178,40,1260
156,0.108333,604,237,119,81,178,40,1259
157,0.109028,604,236,119,81,178,40,1258
158,0.109722,604,235,119,81,178,40,1257
159,0.110417,604,235,119,81,178,40,1257
160,0.111111,604,235,119,81,178,40,1257
161,0.111806,604,235,119,81,178,40,1257
162,0.1125,604,235,119,81,178,40,1257
163,0.113194,604,235,119,81,178,40,1257
164,0.113889,604,235,119,81,178,40,1257
165,0.114583,604,235,119,81,178,40,1257
166,0.115278,604,235,119,81,178,40,1257
167,0.115972,604,235,119,81,178,40,1257
168,0.116667,604,235,119,81,178,40,1257
169,0.117361,604,235,119,81,178,40,1257
170,0.118056,604,235,119,81,178,40,1257
171,0.11875,604,235,119,81,178,40,1257
172,0.119444,604,235,119,81,178,40,1257
173,0.120139,604,235,119,81,178,40,1257
174,0.120833,604,235,119,81,178,40,1257
175,0.121528,604,235,119,81,178,40,1257
176,0.122222,604,235,119,81,178,40,1257
177,0.122917,604,234,119,81,178,40,1256
178,0.123611,604,234,119,81,178,40,1256
179,0.124306,604,234,119,81,178,40,1256
180,0.125,605,234,119,81,178,40,1257
181,0.125694,605,234,119,81,178,40,1257
182,0.126389,605,234,119,81,178,40,1257
183,0.127083,605,234,119,81,178,40,1257
184,0.127778,605,234,119,81,178,40,1257
185,0.128472,605,234,119,81,178,40,1257
186,0.129167,605,233,119,81,178,40,1256
187,0.129861,605,233,119,81,178,40,1256
188,0.130556,605,233,119,81,178,40,1256
189,0.13125,605,233,119,81,178,40,1256
190,0.131944,605,233,119,81,178,40,1256
191,0.132639,605,233,119,81,178,40,1256
192,0.133333,605,233,119,81,178,40,1256
193,0.134028,605,233,119,81,178,40,1256
194,0.134722,605,233,119,81,178,40,1256
195,0.135417,605,233,119,81,178,40,1256
196,0.136111,605,234,119,81,178,40,1257
197,0.136806,605,234,119,81,178,40,1257
198,0.1375,605,234,119,81,178,40,1257
199,0.138194,605,234,119,81,178,40,1257
200,0.138889,605,234,119,81,178,40,1257
201,0.139583,605,234,119,81,178,40,1257
202,0.140278,606,235,119,81,178,40,1259
203,0.140972,606,235,119,81,178,40,1259
204,0.141667,606,235,119,81,178,40,1259
205,0.142361,606,235,119,81,178,40,1259
206,0.143056,606,235,119,81,178,40,1259
207,0.14375,607,235,119,81,178,40,1260
208,0.144444,607,235,119,81,178,40,1260
209,0.145139,607,235,119,81,178,40,1260
210,0.145833,608,235,119,81,178,40,1261
211,0.146528,608,235,119,81,178,40,1261
212,0.147222,608,235,119,81,178,40,1261
213,0.147917,608,235,119,81,178,40,1261
214,0.148611,608,235,119,81,179,40,1262
215,0.149306,608,235,119,81,179,40,1262
216,0.15,608,235,119,81,179,40,1262
217,0.150694,608,235,119,81,179,40,1262
218,0.151389,608,235,119,81,179,40,1262
219,0.152083,608,235,119,81,179,40,1262
220,0.152778,608,235,120,81,179,40,1263
221,0.153472,608,235,120,81,179,40,1263
222,0.154167,608,235,120,81,179,40,1263
223,0.154861,608,235,120,81,179,40,1263
224,0.155556,608,235,120,81,179,40,1263
225,0.15625,608,235,120,81,179,40,1263
226,0.156944,608,235,120,81,179,40,1263
227,0.157639,608,235,120,81,179,40,1263
228,0.158333,608,235,120,81,179,40,1263
229,0.159028,608,235,120,81,179,40,1263
230,0.159722,608,235,120,81,179,40,1263
231,0.160417,608,235,120,81,179,40,1263
232,0.161111,608,235,120,82,179,40,1264
233,0.161806,608,235,120,82,179,40,1264
234,0.1625,608,235,120,82,179,40,1264
235,0.163194,608,235,120,82,179,40,1264
236,0.163889,608,235,120,82,179,40,1264
237,0.164583,608,235,120,82,179,40,1264
238,0.165278,608,235,120,82,179,40,1264
239,0.165972,608,235,120,82,179,40,1264
240,0.166667,608,235,120,82,179,40,1264
241,0.167361,608,235,119,82,179,40,1263
242,0.168056,608,235,119,82,179,40,1263
243,0.16875,608,235,119,82,179,40,1263
244,0.169444,608,235,119,82,179,40,1263
245,0.170139,608,235,119,82,179,40,1263
246,0.170833,608,235,119,82,179,40,1263
247,0.171528,608,235,119,82,179,40,1263
248,0.172222,608,235,119,82,179,40,1263
249,0.172917,608,235,119,82,179,40,1263
250,0.173611,608,235,119,82,179,40,1263
251,0.174306,608,235,119,82,179,40,1263
252,0.175,608,235,119,82,179,40,1263
253,0.175694,608,235,119,82,179,40,1263
254,0.176389,608,235,119,82,179,40,1263
255,0.177083,608,235,119,82,179,40,1263
256,0.177778,608,235,119,82,179,40,1263
257,0.178472,608,235,119,82,179,40,1263
258,0.179167,608,235,119,82,179,40,1263
259,0.179861,608,235,119,82,179,40,1263
260,0.180556,608,235,119,82,179,40,1263
261,0.18125,608,235,119,82,179,40,1263
262,0.181944,608,235,119,82,179,40,1263
263,0.182639,608,235,119,82,179,40,1263
264,0.183333,608,235,119,82,179,40,1263
265,0.184028,608,235,119,82,179,40,1263
266,0.184722,608,235,119,82,179,40,1263
267,0.185417,608,235,119,82,179,40,1263
268,0.186111,608,234,119,82,179,40,1262
269,0.186806,608,234,119,82,179,40,1262
270,0.1875,608,234,119,82,179,40,1262
271,0.188194,608,234,119,82,179,40,1262
272,0.188889,608,234,119,82,179,40,1262
273,0.189583,608,234,119,82,179,40,1262
274,0.190278,608,234,119,82,179,40,1262
275,0.190972,608,234,119,82,179,40,1262
276,0.191667,608,234,119,82,179,40,1262
277,0.192361,608,234,119,82,179,40,1262
278,0.193056,608,235,120,82,179,40,1264
279,0.19375,608,235,120,82,179,40,1264
280,0.194444,608,235,120,82,179,40,1264
281,0.195139,608,235,120,82,179,40,1264
282,0.195833,608,235,120,82,179,40,1264
283,0.196528,608,235,120,82,179,40,1264
284,0.197222,608,235,120,82,179,40,1264
285,0.197917,609,235,120,82,179,40,1265
286,0.198611,609,235,120,82,179,40,1265
287,0.199306,609,235,120,82,179,40,1265
288,0.2,609,235,120,82,179,40,1265
289,0.200694,609,235,120,82,179,40,1265
290,0.201389,609,235,120,82,179,40,1265
291,0.202083,609,235,120,82,179,40,1265
292,0.202778,609,235,120,82,179,40,1265
293,0.203472,609,235,120,82,179,40,1265
294,0.204167,609,235,120,82,179,40,1265
295,0.204861,609,235,120,82,179,40,1265
296,0.205556,609,236,120,82,179,40,1266
297,0.20625,610,236,120,82,179,40,1267
298,0.206944,610,236,120,82,179,40,1267
299,0.207639,610,236,120,82,179,40,1267
300,0.208333,610,236,120,82,179,40,1267
301,0.209028,610,236,120,82,179,40,1267
302,0.209722,610,236,120,82,179,40,1267
303,0.210417,610,236,120,82,179,40,1267
304,0.211111,610,236,120,82,179,40,1267
305,0.211806,610,236,120,82,179,40,1267
306,0.2125,610,236,120,82,179,40,1267
307,0.213194,610,236,120,82,179,40,1267
308,0.213889,610,236,120,82,179,40,1267
309,0.214583,610,236,120,82,179,40,1267
310,0.215278,610,236,120,82,179,40,1267
311,0.215972,610,235,120,82,179,40,1266
312,0.216667,610,235,120,82,179,40,1266
313,0.217361,610,235,120,82,179,40,1266
314,0.218056,610,235,120,82,179,40,1266
315,0.21875,610,235,120,82,179,40,1266
316,0.219444,610,235,120,82,179,40,1266
317,0.220139,610,235,120,82,179,40,1266
318,0.220833,610,235,120,82,179,40,1266
319,0.221528,610,235,120,82,179,40,1266
320,0.222222,610,235,120,82,179,40,1266
321,0.222917,610,235,120,82,179,40,1266
322,0.223611,610,235,120,82,179,40,1266
323,0.224306,610,235,120,82,179,40,1266
324,0.225,610,235,120,82,179,40,1266
325,0.225694,610,235,120,82,179,40,1266
326,0.226389,610,235,120,82,179,40,1266
327,0.227083,610,235,120,82,179,40,1266
328,0.227778,611,235,120,82,179,40,1267
329,0.228472,611,235,120,82,179,40,1267
330,0.229167,611,235,120,82,179,40,1267
331,0.229861,611,235,120,82,179,40,1267
332,0.230556,611,235,120,82,178,40,1266
333,0.23125,611,235,120,82,178,40,1266
334,0.231944,611,235,120,82,178,40,1266
335,0.232639,611,235,120,82,178,40,1266
336,0.233333,611,235,120,82,178,40,1266
337,0.234028,611,236,120,82,178,40,1267
338,0.234722,611,236,120,82,178,40,1267
339,0.235417,611,236,120,82,178,40,1267
340,0.236111,611,236,120,82,178,40,1267
341,0.236806,611,236,120,82,178,40,1267
342,0.2375,611,236,120,82,178,40,1267
343,0.238194,611,236,120,82,178,40,1267
